5A8	Aleknagik / New Airport	US
KSBY	Salisbury Ocean City Wicomico Regional Airport	US
KSCH	Schenectady County Airport	US
KSCK	Stockton Metropolitan Airport	US
KSDF	Louisville Muhammad Ali International Airport	US
KSDM	Brown Field Municipal Airport	US
KSDY	Sidney - Richland Regional Airport	US
KSEA	Seattle–Tacoma International Airport	US
KSFB	Orlando Sanford International Airport	US
KSFF	Felts Field	US
KSFO	San Francisco International Airport	US
KSGF	Springfield Branson National Airport	US
KSGH	Springfield-Beckley Municipal Airport	US
KSGJ	Northeast Florida Regional Airport	US
KSGR	Sugar Land Regional Airport	US
KSGU	St George Regional Airport	US
KSHD	Shenandoah Valley Regional Airport	US
KSHR	Sheridan County Airport	US
KSHV	Shreveport Regional Airport	US
KSJC	Norman Y. Mineta San Jose International Airport	US
KSJT	San Angelo Regional Mathis Field	US
KSKA	Fairchild Air Force Base	US
KSKF	Lackland Air Force Base	US
KSLC	Salt Lake City International Airport	US
KSLE	Salem Municipal Airport/McNary Field	US
KSLI	Los Alamitos Army Air Field	US
KSLK	Adirondack Regional Airport	US
KSLN	Salina Municipal Airport	US
KSME	Lake Cumberland Regional Airport	US
KSMF	Sacramento International Airport	US
KSMN	Lemhi County Airport	US
KSMO	Santa Monica Municipal Airport	US
KSMX	Santa Maria Public Airport Captain G Allan Hancock Field	US
KSNA	John Wayne Airport-Orange County Airport	US
KSNS	Salinas Municipal Airport	US
KSNY	Sidney Municipal-Lloyd W Carr Field	US
KSOA	Sonora Municipal Airport	US
KSPI	Abraham Lincoln Capital Airport	US
KSPS	Sheppard Air Force Base / Wichita Falls Municipal Airport	US
KSRQ	Sarasota Bradenton International Airport	US
KSRR	Sierra Blanca Regional Airport	US
KSSC	Shaw Air Force Base	US
KSSF	Stinson Municipal Airport	US
KSSI	St Simons Island Airport	US
KSTC	Saint Cloud Regional Airport	US
KSTJ	Rosecrans Memorial Airport	US
KSTL	St Louis Lambert International Airport	US
KSTP	St Paul Downtown Holman Field	US
KSTS	Charles M. Schulz Sonoma County Airport	US
KSUN	Friedman Memorial Airport	US
KSUS	Spirit of St Louis Airport	US
KSUU	Travis Air Force Base	US
KSUX	Sioux Gateway Airport / Brigadier General Bud Day Field	US
KSUZ	Saline County Regional Airport	US
KSVN	Hunter Army Air Field	US
KSWF	New York Stewart International Airport	US
KSWO	Stillwater Regional Airport	US
KSYR	Syracuse Hancock International Airport	US
KSZL	Whiteman Air Force Base	US
KTBN	Waynesville-St. Robert Regional Airport-Forney Field	US
KTCC	Tucumcari Municipal Airport	US
KTCL	Tuscaloosa Regional Airport	US
KTCM	McChord Air Force Base	US
KTCS	Truth or Consequences Municipal Airport	US
KTEB	Teterboro Airport	US
KTIK	Tinker Air Force Base	US
KTIW	Tacoma Narrows Airport	US
KTIX	Space Coast Regional Airport	US
KTLH	Tallahassee Regional Airport	US
KTMB	Miami Executive Airport	US
KTOI	Troy Municipal Airport at N Kenneth Campbell Field	US
KTOL	Eugene F. Kranz Toledo Express Airport	US
KTOP	Philip Billard Municipal Airport	US
KTPA	Tampa International Airport	US
KTPH	Tonopah Airport	US
KTPL	Draughon Miller Central Texas Regional Airport	US
KTRI	Tri-Cities Regional TN/VA Airport	US
KTRK	Truckee Tahoe Airport	US
KTRM	Jacqueline Cochran Regional Airport	US
KTTD	Portland Troutdale Airport	US
KTTN	Trenton Mercer Airport	US
KTTS	NASA Shuttle Landing Facility Airport	US
KTUL	Tulsa International Airport	US
KTUP	Tupelo Regional Airport	US
KTUS	Tucson International Airport / Morris Air National Guard Base	US
KTVC	Cherry Capital Airport	US
KTVL	Lake Tahoe Airport	US
KTWF	Joslin Field Magic Valley Regional Airport	US
KTXK	Texarkana Regional Airport (Webb Field)	US
KTYR	Tyler Pounds Regional Airport	US
KTYS	McGhee Tyson Airport	US
KU42	South Valley Regional Airport	US
KUAO	Aurora State Airport	US
KUIN	Quincy Regional Baldwin Field	US
KUKI	Ukiah Municipal Airport	US
KUNV	University Park Airport	US
KUOX	University Oxford Airport	US
KUTS	Huntsville Regional Airport	US
KVAD	Moody Air Force Base	US
KVBG	Vandenberg Space Force Base	US
KVCT	Victoria Regional Airport	US
KVEL	Vernal Regional Airport	US
KVGT	North Las Vegas Metropolitan International Airport	US
KVIS	Visalia Municipal Airport	US
KVLD	Valdosta Regional Airport	US
KVNY	Van Nuys Airport	US
KVOK	Volk Field	US
KVPS	Destin-Fort Walton Beach Airport	US
KVPZ	Porter County Municipal Airport	US
KVRB	Vero Beach Regional Airport	US
KVTN	Miller Field	US
KW63	Lake Country Regional Airport	US
KWJF	General William J Fox Airfield	US
KWMC	Winnemucca Municipal Airport	US
KWRB	Robins Air Force Base	US
KWRI	Mc Guire Air Force Base	US
KWRL	Worland Municipal Airport	US
KWWD	Cape May County Airport	US
KWWR	West Woodward Airport	US
KWY	Kiwayu Airport	KE
KWYS	Yellowstone Airport	US
KXMR	Cape Canaveral SFS Skid Strip	US
KXNA	Northwest Arkansas Regional Airport	US
KXTA	Homey (Area 51) Airport	US
KYIP	Willow Run Airport	US
KYKM	Yakima Air Terminal McAllister Field	US
KYKN	Chan Gurney Municipal Airport	US
KYNG	Youngstown Warren Regional Airport	US
KZ-0067	Krainiy Airport	KZ
KZ-0068	Kurchatov Airfield	KZ
KZ-0069	Zhangiztobe Air Base	KZ
KZ-7470	Dolon Air Base	KZ
KZZV	Zanesville Municipal Airport	US
LA-0006	Bokeo International Airport	LA
LAKU	Kukës International Airport	AL
LAKV	Kuçovë Air Base	AL
LATI	Tirana International Airport Mother Teresa	AL
LBBG	Burgas Airport	BG
LBGO	Gorna Oryahovitsa Airport	BG
LBPD	Plovdiv International Airport	BG
LBPG	Graf Ignatievo Air Base	BG
LBPL	Dolna Mitropoliya Air Base	BG
LBSF	Sofia Airport	BG
LBWB	Balchik Airfield	BG
LBWN	Varna Airport	BG
LCEN	Nicosia (Lefkoşa) Ercan International Airport	CY
LCLK	Larnaca International Airport	CY
LCPH	Paphos International Airport	CY
LCRA	RAF Akrotiri	CY
LDDU	Dubrovnik Airport	HR
LDOS	Osijek Airport	HR
LDPL	Pula Airport	HR
LDRI	Rijeka Airport	HR
LDSB	Brač Airport	HR
LDSP	Split Airport	HR
LDZA	Zagreb Airport	HR
LDZD	Zadar Airport	HR
LEAB	Albacete Airport / Los Llanos Air Base	ES
LEAL	Alicante-Elche Miguel Hernández Airport	ES
LEAM	Almería Airport	ES
LEAS	Asturias Airport	ES
LEBA	Córdoba Airport	ES
LEBB	Bilbao Airport	ES
LEBG	Burgos Airport	ES
LEBL	Josep Tarradellas Barcelona-El Prat Airport	ES
LEBZ	Badajoz Airport	ES
LECH	Castellón-Costa Azahar Airport	ES
LECO	A Coruña Airport	ES
LECU	Madrid-Cuatro Vientos Airport	ES
LEDA	Lleida-Alguaire Airport	ES
LEGA	Armilla Air Base	ES
LEGE	Girona-Costa Brava Airport	ES
LEGR	F.G.L. Airport Granada-Jaén Airport	ES
LEGT	Getafe Air Base	ES
LEIB	Ibiza Airport	ES
LEJR	Jerez Airport	ES
LELC	San Javier Airport	ES
LELN	León Airport	ES
LELO	Logroño-Agoncillo Airport	ES
LEMD	Adolfo Suárez Madrid–Barajas Airport	ES
LEMG	Málaga-Costa del Sol Airport	ES
LEMH	Menorca Airport	ES
LEMI	Región de Murcia International Airport	ES
LEMO	Moron Air Base	ES
LEPA	Palma de Mallorca Airport	ES
LEPP	Pamplona Airport	ES
LERI	Alcantarilla Air Base	ES
LERL	Ciudad Real International Airport	ES
LERS	Reus Airport	ES
LERT	Rota Naval Station Airport	ES
LESA	Salamanca Airport	ES
LESO	San Sebastián Airport	ES
LEST	Santiago-Rosalía de Castro Airport	ES
LETL	Teruel Airport	ES
LETO	Madrid–Torrejón Airport / Torrejón Air Base	ES
LEVC	Valencia Airport	ES
LEVD	Valladolid Airport	ES
LEVT	Vitoria Airport	ES
LEVX	Vigo Airport	ES
LEXJ	Seve Ballesteros-Santander Airport	ES
LEZG	Zaragoza Airport	ES
LEZL	Sevilla Airport	ES
LFAC	Calais-Dunkerque Airport	FR
LFAG	Aérodrome de Péronne Saint-Quentin	FR
LFAT	Le Touquet-Côte d'Opale Airport	FR
LFAV	Valenciennes-Denain Airfield	FR
LFAY	Aérodrome d'Amiens-Glisy	FR
LFBA	Agen-La Garenne Airport	FR
LFBC	Cazaux (BA 120) Air Base	FR
LFBD	Bordeaux-Mérignac Airport	FR
LFBE	Bergerac-Roumanière Airport	FR
LFBF	Toulouse-Francazal (BA 101) Air Base	FR
LFBG	Cognac-Châteaubernard (BA 709) Air Base	FR
LFBH	La Rochelle-Île de Ré Airport	FR
LFBI	Poitiers-Biard Airport	FR
LFBK	Montluçon-Guéret Airport	FR
LFBL	Limoges Airport	FR
LFBM	Mont-de-Marsan (BA 118) Air Base	FR
LFBN	Niort-Souché Airport	FR
LFBO	Toulouse-Blagnac Airport	FR
LFBP	Pau Pyrénées Airport	FR
LFBT	Tarbes-Lourdes-Pyrénées Airport	FR
LFBU	Angoulême-Brie-Champniers Airport	FR
LFBX	Périgueux-Bassillac Airport	FR
LFBZ	Biarritz-Anglet-Bayonne Airport	FR
LFCC	Aérodrome de Cahors-Lalbenque	FR
LFCG	Aérodrome de Saint-Girons - Antichan	FR
LFCH	Aérodrome d'Arcachon-La Teste-de-Buch	FR
LFCI	Albi-Le Séquestre Airport	FR
LFCK	Castres-Mazamet Airport	FR
LFCR	Rodez-Marcillac Airport	FR
LFCY	Royan-Médis Airport	FR
LFDH	Auch-Lamothe Airport	FR
LFDI	Libourne-Artigues-de-Lussac Airport	FR
LFDN	Rochefort-Saint-Agnant (BA 721) Airport	FR
LFEY	Île d'Yeu Airport	FR
LFGA	Colmar-Houssen Airport	FR
LFGJ	Dole-Tavaux Airport	FR
LFGW	Verdun-Le Rozelier Airfield	FR
LFHO	Aubenas-Ardèche Méridional Airport	FR
LFHP	Le Puy-Loudes Airfield	FR
LFJL	Metz-Nancy-Lorraine Airport	FR
LFJR	Angers-Loire Airport	FR
LFKB	Bastia-Poretta Airport	FR
LFKC	Calvi-Sainte-Catherine Airport	FR
LFKF	Figari Sud-Corse Airport	FR
LFKJ	Ajaccio-Napoléon Bonaparte Airport	FR
LFKS	Solenzara (BA 126) Air Base	FR
LFLA	Auxerre-Branches Airport	FR
LFLB	Chambéry-Savoie Airport	FR
LFLC	Clermont-Ferrand Auvergne Airport	FR
LFLD	Bourges Airport	FR
LFLH	Chalon-Champforgeuil Airfield	FR
LFLI	Annemasse Airfield	FR
LFLL	Lyon Saint-Exupéry Airport	FR
LFLM	Aérodrome de Mâcon-Charnay	FR
LFLN	Saint-Yan Airport	FR
LFLO	Roanne-Renaison Airport	FR
LFLP	Annecy-Haute-Savoie-Mont Blanc Airport	FR
LFLS	Grenoble-Isère Airport	FR
LFLU	Valence-Chabeuil Airport	FR
LFLV	Vichy-Charmeil Airport	FR
LFLW	Aurillac Airport	FR
LFLX	Châteauroux-Déols "Marcel Dassault" Airport	FR
LFLY	Lyon-Bron Airport	FR
LFMC	Le Luc-Le Cannet Airport	FR
LFMD	Cannes-Mandelieu Airport	FR
LFMH	Saint-Étienne-Bouthéon Airport	FR
LFMI	Istres Le Tubé Air Base	FR
LFMK	Carcassonne Airport	FR
LFML	Marseille Provence Airport	FR
LFMN	Nice-Côte d'Azur Airport	FR
LFMO	Orange-Caritat (BA 115) Air Base	FR
LFMP	Perpignan-Rivesaltes (Llabanère) Airport	FR
LFMQ	Le Castellet Airport	FR
LFMS	Aérodrome d'Alès Cévennes	FR
LFMT	Montpellier-Méditerranée Airport	FR
LFMU	Béziers-Vias Airport	FR
LFMV	Avignon-Caumont Airport	FR
LFMY	Salon-de-Provence (BA 701) Air Base	FR
LFNB	Mende-Brenoux Airfield	FR
LFOA	Avord (BA 702) Air Base	FR
LFOB	Paris Beauvais Tillé Airport	FR
LFOC	Châteaudun (BA 279) Air Base	FR
LFOE	Évreux-Fauville (BA 105) Air Base	FR
LFOH	Le Havre-Octeville Airport	FR
LFOI	Abbeville	FR
LFOJ	Orléans-Bricy (BA 123) Air Base	FR
LFOK	Châlons-Vatry Airport	FR
LFOP	Rouen Vallée de Seine Airport	FR
LFOT	Tours-Val-de-Loire Airport	FR
LFOU	Cholet Le Pontreau Airport	FR
LFOV	Laval-Entrammes Airport	FR
LFPB	Paris-Le Bourget Airport	FR
LFPC	Creil Air Base	FR
LFPG	Charles de Gaulle International Airport	FR
LFPM	Melun-Villaroche Air Base	FR
LFPN	Toussus-le-Noble Airport	FR
LFPO	Paris-Orly Airport	FR
LFPT	Aérodrome de Pontoise - Cormeilles en Vexin	FR
LFPV	Vélizy-Villacoublay Air Base	FR
LFQB	Troyes-Barberey Airport	FR
LFQE	Lieutenant Étienne Mantoux Air Base	FR
LFQG	Nevers-Fourchambault Airport	FR
LFQJ	Maubeuge-Élesmes Airfield	FR
LFQP	Phalsbourg-Bourscheid Air Base	FR
LFQQ	Lille-Lesquin Airport	FR
LFQT	Merville-Calonne Airport	FR
LFQV	Charleville-Mézières Ardennes-Etienne Riché Airfield	FR
LFQW	Aérodrome de Vesoul-Frotey	FR
LFRB	Brest Bretagne Airport	FR
LFRC	Cherbourg-Maupertus Airport	FR
LFRD	Dinard-Pleurtuit-Saint-Malo Airport	FR
LFRE	La Baule-Escoublac Airport	FR
LFRF	Granville Airport	FR
LFRG	Deauville-Saint-Gatien Airport	FR
LFRH	Lorient South Brittany (Bretagne Sud) Airport	FR
LFRI	La Roche-sur-Yon Airport	FR
LFRJ	Landivisiau Air Base	FR
LFRK	Caen-Carpiquet Airport	FR
LFRL	Lanvéoc-Poulmic Air Base	FR
LFRM	Le Mans-Arnage Airport	FR
LFRN	Rennes-Saint-Jacques Airport	FR
LFRO	Lannion-Côte de Granit Airport	FR
LFRQ	Quimper-Cornouaille Airport	FR
LFRS	Nantes Atlantique Airport	FR
LFRT	Saint-Brieuc-Armor Airport	FR
LFRU	Morlaix-Ploujean Airport	FR
LFRV	Vannes-Meucon Airport	FR
LFRZ	Saint-Nazaire-Montoir Airport	FR
LFSB	EuroAirport Basel-Mulhouse-Freiburg Airport	FR
LFSD	Dijon-Bourgogne Airport	FR
LFSG	Épinal-Mirecourt Airport	FR
LFSI	Saint-Dizier – Robinson Air Base	FR
LFSL	Brive-Souillac	FR
LFSM	Montbéliard-Courcelles Airfield	FR
LFSN	Nancy-Essey Airport	FR
LFSO	Nancy-Ochey (BA 133) Air Base	FR
LFST	Strasbourg Airport	FR
LFSX	Luxeuil-Saint-Sauveur (BA 116) Air Base	FR
LFTH	Toulon-Hyères Airport	FR
LFTO	Rize–Artvin Airport	TR
LFTW	Nîmes-Arles-Camargue Airport	FR
LFVM	Miquelon Airport	PM
LFVP	St Pierre Airport	PM
LFXA	Ambérieu Air Base (BA 278)	FR
LGAD	Andravida Air Base	GR
LGAL	Alexandroupoli Democritus Airport	GR
LGAV	Athens Eleftherios Venizelos International Airport	GR
LGBL	Nea Anchialos National Airport	GR
LGEL	Elefsis Airport	GR
LGHI	Chios Island National Airport	GR
LGIO	Ioannina Airport	GR
LGIR	Heraklion International Nikos Kazantzakis Airport	GR
LGKF	Kefallinia Airport	GR
LGKL	Kalamata Airport	GR
LGKO	Kos Airport	GR
LGKP	Karpathos Airport	GR
LGKR	Ioannis Kapodistrias International Airport	GR
LGKV	Kavala Alexander the Great International Airport	GR
LGKZ	Kozani State Airport Filippos	GR
LGMK	Mikonos Airport	GR
LGMT	Mytilene International Airport	GR
LGP	Bicol International Airport	PH
LGPZ	Aktion National Airport	GR
LGRP	Diagoras Airport	GR
LGRX	Patras Araxos Agamemnon Airport	GR
LGSA	Chania International Airport	GR
LGSK	Skiathos Island National Airport	GR
LGSM	Samos Airport	GR
LGSR	Santorini Airport	GR
LGST	Sitia Airport	GR
LGTG	Tanagra Air Base	GR
LGTS	Thessaloniki Macedonia International Airport	GR
LGZA	Zakynthos International Airport "Dionysios Solomos"	GR
LHBP	Budapest Liszt Ferenc International Airport	HU
LHDC	Debrecen International Airport	HU
LHKE	Kecskemét Air Base	HU
LHPP	Pécs-Pogány Airport	HU
LHPR	Győr-Pér International Airport	HU
LHSM	Hévíz–Balaton Airport	HU
LHSN	Szolnok Air Base	HU
LHTA	Taszár Air Base	HU
LHTL	Tököl Airport	HU
LIBA	Amendola Air Base	IT
LIBC	Crotone Airport	IT
LIBD	Bari Karol Wojtyła Airport	IT
LIBF	Foggia "Gino Lisa" Airport	IT
LIBG	Taranto-Grottaglie "Marcello Arlotta" Airport	IT
LIBN	Lecce Galatina Air Base	IT
LIBP	Abruzzo Airport	IT
LIBR	Brindisi Airport	IT
LIBV	Gioia Del Colle Air Base	IT
LICA	Lamezia Terme Airport	IT
LICB	Comiso Airport	IT
LICC	Catania-Fontanarossa Airport	IT
LICD	Lampedusa Airport	IT
LICG	Pantelleria Airport	IT
LICJ	Falcone–Borsellino Airport	IT
LICP	Palermo-Boccadifalco Airport	IT
LICR	Reggio Calabria Airport	IT
LICT	Vincenzo Florio Airport Trapani-Birgi	IT
LICZ	Sigonella Navy Air Base	IT
LIDT	Trento-Mattarello Airport	IT
LIEA	Alghero-Fertilia Airport	IT
LIED	Decimomannu Air Base	IT
LIEE	Cagliari Elmas Airport	IT
LIEO	Olbia Costa Smeralda Airport	IT
LIET	Tortolì Airport	IT
LILA	Alessandria Airport	IT
LILE	Biella-Cerrione Airport	IT
LILI	Vercelli Airport	IT
LILM	Casale Monferrato Airport	IT
LILN	Varese-Venegono Airport	IT
LIMA	Torino-Aeritalia Airport	IT
LIMC	Malpensa International Airport	IT
LIME	Milan Bergamo Airport	IT
LIMF	Turin Airport	IT
LIMG	Villanova D'Albenga International Airport	IT
LIMJ	Genoa Cristoforo Colombo Airport	IT
LIML	Milano Linate Airport	IT
LIMN	Cameri Air Base [MIL]	IT
LIMP	Parma Airport	IT
LIMR	Novi Ligure Airport	IT
LIMS	Piacenza San Damiano Air Base	IT
LIMW	Aosta Airport	IT
LIMZ	Cuneo International Airport	IT
LIPA	Aviano Air Base	IT
LIPB	Bolzano Airport	IT
LIPC	Cervia Air Base	IT
LIPE	Bologna Guglielmo Marconi Airport	IT
LIPH	Treviso-Sant'Angelo Airport	IT
LIPI	Rivolto Air Base	IT
LIPK	Forlì Airport	IT
LIPL	Ghedi Air Base	IT
LIPO	Brescia Airport	IT
LIPQ	Trieste–Friuli Venezia Giulia Airport	IT
LIPR	Federico Fellini International Airport	IT
LIPS	Istrana Air Base	IT
LIPU	Padova Airfield	IT
LIPX	Verona-Villafranca Valerio Catullo Airport	IT
LIPY	Marche Airport	IT
LIPZ	Venice Marco Polo Airport	IT
LIQS	Siena-Ampugnano Airport	IT
LIQW	Sarzana-Luni Air Base	IT
LIRA	Ciampino–G. B. Pastine International Airport	IT
LIRE	Pratica Di Mare Air Base	IT
LIRF	Rome–Fiumicino Leonardo da Vinci International Airport	IT
LIRG	Guidonia Air Base	IT
LIRI	Salerno Costa d'Amalfi Airport	IT
LIRJ	Marina Di Campo Airport	IT
LIRL	Latina Air Base	IT
LIRM	Grazzanise Air Base	IT
LIRN	Naples International Airport	IT
LIRP	Pisa International Airport	IT
LIRQ	Peretola Airport	IT
LIRS	Grosseto Air Base	IT
LIRU	Rome Urbe Airport	IT
LIRV	Viterbo Airport	IT
LIRZ	Perugia San Francesco d'Assisi – Umbria International Airport	IT
LJCE	Cerklje Air Base	SI
LJLJ	Ljubljana Jože Pučnik Airport	SI
LJMB	Maribor Airport	SI
LJPZ	Portorož Airport	SI
LKCV	Čáslav Air Base	CZ
LKKB	Kbely Air Base	CZ
LKKU	Kunovice Airport	CZ
LKKV	Karlovy Vary International Airport	CZ
LKLN	Plzeň-Líně Airport	CZ
LKMT	Ostrava Leos Janáček Airport	CZ
LKNA	Náměšť Air Base	CZ
LKPD	Pardubice Airport	CZ
LKPO	Přerov Air Base	CZ
LKPR	Václav Havel Airport Prague	CZ
LKTB	Brno-Tuřany Airport	CZ
LKVO	Vodochody Airport	CZ
LLBG	Ben Gurion International Airport	IL
LLEK	Tel Nof Air Base	IL
LLER	Ramon International Airport	IL
LLHA	Haifa International Airport	IL
LLIB	Rosh Pina Airport	IL
LLMZ	Bar Yehuda Airfield	IL
LLNV	Nevatim Air Base	IL
LLRD	Ramat David Air Base	IL
LLRM	Ramon Air Base	IL
LMML	Malta International Airport	MT
LOAN	Wiener Neustadt East Airport	AT
LOWG	Graz Airport	AT
LOWI	Innsbruck Airport	AT
LOWK	Klagenfurt Airport	AT
LOWL	Linz-Hörsching Airport / Vogler Air Base	AT
LOWS	Salzburg Airport	AT
LOWW	Vienna International Airport	AT
LOXZ	Hinterstoisser Air Base	AT
LPAR	Alverca Air Base	PT
LPAZ	Santa Maria Airport	PT
LPBG	Bragança Airport	PT
LPBJ	Beja Airport / Airbase	PT
LPBR	Braga Municipal Aerodrome	PT
LPCB	Aerodromo de Castelo Branco	PT
LPCO	Aerodromo Municipal de Coimbra	PT
LPCS	Cascais Airport	PT
LPEV	Évora Airfield	PT
LPFL	Flores Airport	PT
LPFR	Faro Airport	PT
LPGR	Graciosa Airport	PT
LPHR	Horta Airport	PT
LPLA	Lajes Airport	PT
LPMA	Madeira International Airport Cristiano Ronaldo	PT
LPMR	Monte Real Air Base	PT
LPMT	Montijo Air Base	PT
LPOV	Ovar Air Base	PT
LPPD	João Paulo II Airport	PT
LPPI	Pico Airport	PT
LPPM	Portimão Airport	PT
LPPR	Francisco de Sá Carneiro Airport	PT
LPPS	Porto Santo Airport	PT
LPPT	Humberto Delgado Airport (Lisbon Portela Airport)	PT
LPSJ	São Jorge Airport	PT
LPSO	Aeródromo Municipal de Ponte de Sor	PT
LPST	Sintra Air Base	PT
LPTN	Tancos Airbase	PT
LPVL	Vilar de Luz Airfield	PT
LPVR	Vila Real Airport	PT
LPVZ	Aerodromo Goncalves Lobato (Viseu Airport)	PT
LQBK	Banja Luka International Airport	BA
LQMO	Mostar International Airport	BA
LQSA	Sarajevo International Airport	BA
LQTZ	Tuzla International Airport	BA
LR79	Ianca Air Base	RO
LR80	Feteşti Air Base	RO
LR82	Boboc Air Base	RO
LRAR	Arad International Airport	RO
LRBC	Bacău Airport	RO
LRBM	Maramureș International Airport	RO
LRBS	Băneasa International Airport	RO
LRCK	Mihail Kogălniceanu International Airport	RO
LRCL	Cluj-Napoca International Airport	RO
LRCS	Caransebeş Airport	RO
LRCT	Câmpia Turzii Air Base	RO
LRCV	Craiova Airport	RO
LRIA	Iaşi Airport	RO
LROD	Oradea International Airport	RO
LROP	Henri Coandă International Airport	RO
LROV	Brașov-Ghimbav International Airport (U.C.)	RO
LRSB	Sibiu International Airport	RO
LRSM	Satu Mare Airport	RO
LRSV	Suceava Stefan cel Mare Airport	RO
LRTC	Tulcea Danube Delta Airport	RO
LRTM	Transilvania Târgu Mureş International Airport	RO
LRTR	Timişoara Traian Vuia Airport	RO
LSGC	Les Eplatures Airport	CH
LSGG	Geneva Cointrin International Airport	CH
LSGS	Sion Airport	CH
LSMA	Alpnach Air Base	CH
LSMD	Dübendorf Air Base	CH
LSME	Emmen Air Base	CH
LSMP	Payerne Air Base	CH
LSZA	Lugano Airport	CH
LSZB	Bern-Belp Airport	CH
LSZG	Grenchen Airport	CH
LSZH	Zürich Airport	CH
LSZR	St Gallen Altenrhein Airport	CH
LSZS	Samedan Airport	CH
LTAC	Esenboğa International Airport	TR
LTAD	Etimesgut Air Base	TR
LTAE	Akıncı Air Base	TR
LTAF	Adana Şakirpaşa Airport	TR
LTAG	İncirlik Air Base	TR
LTAH	Afyon Air Base	TR
LTAI	Antalya International Airport	TR
LTAJ	Gaziantep International Airport	TR
LTAL	Kastamonu Airport	TR
LTAN	Konya Airport	TR
LTAS	Zonguldak Çaycuma Airport	TR
LTAT	Malatya Erhaç Airport	TR
LTAU	Kayseri Erkilet Airport	TR
LTAV	Sivrihisar Airport	TR
LTAW	Tokat Airport	TR
LTAY	Çardak Airport	TR
LTBA	İstanbul Atatürk Airport	TR
LTBF	Balıkesir Merkez Airport	TR
LTBG	Bandırma Airport	TR
LTBH	Çanakkale Airport	TR
LTBI	Eskişehir Air Base	TR
LTBJ	Adnan Menderes International Airport	TR
LTBL	Çiğli Airport	TR
LTBQ	Cengiz Topel Airport	TR
LTBR	Bursa Yenişehir Airport	TR
LTBS	Dalaman International Airport	TR
LTBT	Akhisar Airport	TR
LTBU	Tekirdağ Çorlu Airport	TR
LTBX	İstanbul Samandıra Army Air Base	TR
LTBY	Anadolu Airport	TR
LTCA	Elazığ Airport	TR
LTCB	Ordu–Giresun Airport	TR
LTCC	Diyarbakır Airport	TR
LTCD	Erzincan Airport	TR
LTCE	Erzurum International Airport	TR
LTCF	Kars Airport	TR
LTCG	Trabzon International Airport	TR
LTCI	Van Ferit Melen Airport	TR
LTCJ	Batman Airport	TR
LTCK	Muş Airport	TR
LTCL	Siirt Airport	TR
LTCM	Sinop Airport	TR
LTCN	Kahramanmaraş Airport	TR
LTCO	Ağrı Airport	TR
LTCP	Adıyaman Airport	TR
LTCR	Mardin Airport	TR
LTCS	Şanlıurfa GAP Airport	TR
LTCT	Iğdır Airport	TR
LTCV	Şırnak Şerafettin Elçi Airport	TR
LTCW	Hakkari Yüksekova Airport	TR
LTDA	Hatay Airport	TR
LTFC	Süleyman Demirel International Airport	TR
LTFD	Balıkesir Koca Seyit Airport	TR
LTFE	Milas Bodrum International Airport	TR
LTFG	Gazipaşa-Alanya Airport	TR
LTFH	Samsun-Çarşamba Airport	TR
LTFJ	Istanbul Sabiha Gökçen International Airport	TR
LTFM	İstanbul Airport	TR
LUBL	Bălți International Airport	MD
LUBM	Mărculeşti International Airport	MD
LUCH	Cahul International Airport	MD
LUKK	Chişinău International Airport	MD
LUTR	Tiraspol Airport	MD
LWOH	Ohrid St. Paul the Apostle Airport	MK
LWSK	Skopje International Airport	MK
LXGB	Gibraltar Airport	GI
LY-BCQ	Brak Airport	LY
LY88	Ponikve Airport	RS
LYBE	Belgrade Nikola Tesla Airport	RS
LYBT	Batajnica Air Base	RS
LYKV	Morava Airport	RS
LYNI	Nis Airport	RS
LYPG	Podgorica Airport / Podgorica Golubovci Airbase	ME
LYTV	Tivat Airport	ME
LZG	Langzhong Gucheng Airport	CN
LZIB	M. R. Štefánik Airport	SK
LZKZ	Košice Airport	SK
LZMC	Kuchyňa Air Base	SK
LZPP	Piešťany Airport	SK
LZSL	Sliač Airport	SK
LZTT	Poprad-Tatry Airport	SK
LZZI	Žilina Airport	SK
MA-0003	Mahbes Airbase	MA
MBGT	JAGS McCartney International Airport	TC
MBNC	North Caicos Airport	TC
MBPV	Providenciales International Airport	TC
MBSC	South Caicos Airport	TC
MDBH	Maria Montez International Airport	DO
MDCR	Cabo Rojo Airport	DO
MDCY	Samaná El Catey International Airport	DO
MDJB	La Isabela International Airport	DO
MDLR	Casa De Campo International Airport	DO
MDPC	Punta Cana International Airport	DO
MDPP	Gregorio Luperon International Airport	DO
MDSD	Las Américas International Airport	DO
MDSI	San Isidro Air Base	DO
MDST	Cibao International Airport	DO
MGCB	Coban Airport	GT
MGGT	La Aurora Airport	GT
MGPB	Puerto Barrios Airport	GT
MGRB	Rubelsanto Airport	GT
MGRT	Retalhuleu Airport	GT
MGSJ	San José Airport	GT
MGTK	Mundo Maya International Airport	GT
MHLC	Goloson International Airport	HN
MHLM	Ramón Villeda Morales International Airport	HN
MHNJ	La Laguna Airport	HN
MHRO	Juan Manuel Gálvez International Airport	HN
MHSC	Palmerola International Airport / José Enrique Soto Cano Air Base	HN
MHTE	Tela Airport	HN
MHTG	Toncontín International Airport	HN
MHTJ	Trujillo Airport	HN
MKBS	Ian Fleming International Airport	JM
MKJP	Norman Manley International Airport	JM
MKJS	Sangster International Airport	JM
